IdTipoGasto;IdGrupoGasto;IdCategoria;IdEmpresa;IdCriterioReparto;IdClinicaGestiona
5291;5290;74;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
5292;5290;74;94;"735440af-2fa6-44b1-88b6-b263897e4989";"X"
5293;5290;74;94;"735440af-2fa6-44b1-88b6-b263897e4989";"X"
5294;5290;74;94;"735440af-2fa6-44b1-88b6-b263897e4989";"X"
5295;5290;74;94;"735440af-2fa6-44b1-88b6-b263897e4989";"X"
5296;5290;74;94;"735440af-2fa6-44b1-88b6-b263897e4989";"X"
5297;5290;74;94;"735440af-2fa6-44b1-88b6-b263897e4989";"X"
5298;5290;74;94;"735440af-2fa6-44b1-88b6-b263897e4989";"X"
5300;5299;74;94;"735440af-2fa6-44b1-88b6-b263897e4989";"X"
5301;5299;74;94;"735440af-2fa6-44b1-88b6-b263897e4989";"X"
5302;5299;74;94;"735440af-2fa6-44b1-88b6-b263897e4989";"X"
5304;5303;74;94;"872d4f4e-ba8c-43bf-a5ba-f5ed3e3b31fb";"X"
5305;5303;74;94;"735440af-2fa6-44b1-88b6-b263897e4989";"X"
5306;5303;74;94;"872d4f4e-ba8c-43bf-a5ba-f5ed3e3b31fb";"X"
5308;5307;72;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
5309;5307;72;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
5310;5307;72;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
5311;5307;72;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
5312;5307;72;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
5313;5307;72;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
5314;5307;72;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
5316;5315;72;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
5317;5315;72;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
5319;5318;73;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
5848;5303;74;94;"872d4f4e-ba8c-43bf-a5ba-f5ed3e3b31fb";"X"
6685;5307;72;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
7932;5307;72;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
7933;5303;74;94;"2db7e29f-8f30-43c5-abb4-3a3e63755aec";"X"
7934;5303;74;94;"735440af-2fa6-44b1-88b6-b263897e4989";"X"
7935;5307;72;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
7936;5307;72;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
7938;5307;72;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
7939;5307;72;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
7940;5307;72;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
7941;5318;73;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
7942;5315;72;94;"e2188cd0-6936-4ec0-823b-84690bf47620";"X"
